Rank,Name,Height_m,Height_f,Floors,City,Location,Year,Comments
1,Burj Khalifa,828,"2,717",163 (+ 2 below ground),Dubai,United Arab Emirates,2010,Tallest building in the world since 2009
2,Merdeka 118,678.9,"2,227",118 (+ 5 below ground),Kuala Lumpur,Malaysia,2024,Tallest building in Southeast Asia
3,Shanghai Tower,632,"2,073",128 (+ 5 below ground),Shanghai,China,2015,"Tallest building in East Asia, tallest twisted building in the world; contains the highest luxury hotel in the world"
4,Mecca Royal Clock Tower,601,"1,972",120 (+ 3 below ground),Mecca,Saudi Arabia,2012,"Tallest building in Saudi Arabia, tallest clock tower and contains the highest museum in the world"
5,Ping An Finance Centre,599.1,"1,966",115 (+ 5 below ground),Shenzhen,China,2017,Tallest all-office building in the world; tallest in Guangdong Province
6,Lotte World Tower,554.5,"1,819",123 (+ 6 below ground),Seoul,South Korea,2017,Tallest building in South Korea and the OECD
7,One World Trade Center,541.3,"1,776",104 (+ 5 below ground),New York City,United States,2014,Tallest building outside of Asia; tallest building on an island; tallest building modeled into Google Earth[citation needed]
8,Guangzhou CTF Finance Centre,530,"1,740",111 (+ 5 below ground),Guangzhou,China,2016,
8,Tianjin CTF Finance Centre,530,"1,740",97 (+ 4 below ground),Tianjin,China,2019,Tallest completed building in Tianjin; tallest building in the world fewer than 100 floors
10,CITIC Tower,527.7,"1,731",109 (+ 8 below ground),Beijing,China,2018,Tallest building in Beijing
11,Taipei 101,508,"1,667",101 (+ 5 below ground),Taipei,Taiwan,2004,Tallest building in the world from 2004 to 2009; tallest building in Taiwan
12,Shanghai World Financial Center,492,"1,614",101 (+ 3 below ground),Shanghai,China,2008,Tallest building in the world with a hole
13,International Commerce Centre,484,"1,588",108 (+ 4 below ground),Hong Kong,Hong Kong,2010,Tallest building in Hong Kong
14,Wuhan Greenland Center,475.6,"1,560",101 (+ 6 below ground),Wuhan,China,2023,Tallest building in Hubei Province
15,Central Park Tower,472.4,"1,550",98 (+ 4 below ground),New York City,United States,2021,Tallest residential building
